timestamp_sec,vehicle_id,x,y,speed_kmph
7.8,402,166,158,150.93
7.8,433,8,226,0.0
7.8,426,309,381,343.65
7.8,404,376,251,452.8
7.8,395,207,153,351.0
7.8,427,657,273,256.5
7.8,414,635,238,248.93
7.8,434,595,169,0.0
7.8,435,754,478,0.0
7.8,436,561,158,0.0
7.8,437,559,227,0.0
7.8,438,413,216,0.0
7.8,439,450,169,0.0
7.8,440,21,153,0.0
7.9,441,690,454,0.0
7.9,424,303,418,434.73
7.9,442,714,392,0.0
7.9,432,132,165,170.76
7.9,431,655,322,391.5
7.9,413,346,308,333.43
7.9,425,48,187,383.98
7.9,402,175,158,121.5
7.9,443,93,176,0.0
7.9,444,275,473,0.0
7.9,395,217,155,386.58
7.9,440,21,163,135.0
7.9,434,606,185,235.77
7.9,395,245,149,386.58
7.9,427,627,277,408.58
7.9,439,429,182,333.43
7.9,404,381,251,204.29
7.9,404,403,228,204.29
7.9,434,623,189,235.77
7.9,445,340,146,0.0
7.9,446,66,144,0.0
7.9,436,575,162,196.56
7.9,404,405,243,204.29
8.0,424,306,388,407.02
8.0,447,680,381,0.0
8.0,448,753,461,0.0
8.0,425,41,195,202.95
8.0,404,399,274,426.27
8.0,425,53,183,202.95
8.0,402,181,156,364.75
8.0,432,112,165,339.92
8.0,431,637,329,260.73
8.0,439,455,196,398.65
8.0,449,630,229,267.29
8.0,450,8,198,0.0
8.0,413,354,318,172.88
8.0,432,125,165,339.92
8.0,434,611,203,248.93
8.0,449,644,215,267.29
8.0,395,242,152,57.28
8.0,451,399,197,446.32
8.0,436,591,171,247.83
8.0,451,401,230,446.32
8.0,444,245,491,472.31
8.0,440,24,149,193.29
8.0,402,208,155,364.75
8.0,425,68,184,202.95
8.0,432,150,162,339.92
8.1,452,719,442,0.0
8.1,413,382,322,381.84
8.1,453,248,453,0.0
8.1,432,124,172,376.07
8.1,424,305,396,108.84
8.1,454,161,158,0.0
8.1,449,657,245,453.81
8.1,434,625,223,329.58
8.1,395,272,154,405.9
8.1,451,384,220,266.26
8.1,439,445,214,256.86
8.1,436,595,182,372.41
8.1,449,628,262,453.81
8.1,402,201,155,94.5
8.1,447,675,389,127.36
8.1,404,390,268,146.02
8.1,439,426,213,256.86
8.1,431,611,327,352.04
8.1,436,575,163,372.41
8.2,455,352,396,0.0
8.2,456,37,197,296.08
8.2,439,430,235,301.87
8.2,413,361,318,288.6
8.2,456,21,212,296.08
8.2,451,369,249,440.77
8.2,431,638,316,393.59
8.2,452,706,429,248.19
8.2,457,666,286,0.0
8.2,453,251,458,78.72
8.2,458,602,196,0.0
8.2,459,636,380,0.0
8.2,449,641,248,257.92
8.2,402,216,153,204.29
8.2,395,263,147,426.27
8.2,395,232,153,426.27
8.2,436,577,175,164.23
8.2,460,413,171,400.93
8.2,460,392,192,400.93
8.2,454,171,159,135.67
8.2,461,434,165,0.0
8.3,413,346,292,405.22
8.3,462,80,183,0.0
8.3,463,309,399,0.0
8.3,456,16,206,105.44
8.3,458,617,216,375.34
8.3,464,414,267,0.0
8.3,465,306,462,0.0
8.3,466,671,452,0.0
8.3,467,114,172,0.0
8.3,459,660,383,326.52
8.3,468,689,335,0.0
8.3,431,657,290,434.73
8.3,436,578,185,135.67
8.3,458,639,199,375.34
8.3,469,28,159,0.0
8.3,470,727,482,0.0
8.3,460,409,195,373.39
8.3,460,388,213,373.39
8.3,402,239,155,311.67
8.3,461,432,172,98.28
8.3,471,576,150,0.0
8.4,472,319,351,0.0
8.4,473,726,407,0.0
8.4,474,150,164,0.0
8.4,468,674,340,213.45
8.4,466,679,459,143.51
8.4,475,392,313,0.0
8.4,476,231,462,0.0
8.4,477,635,240,0.0
8.4,456,22,203,90.56
8.4,462,71,177,146.02
8.4,436,585,199,211.31
8.4,478,370,254,176.02
8.4,461,439,181,153.92
8.4,471,583,159,452.6
8.4,469,15,159,334.24
8.4,460,412,204,346.03
8.4,458,651,219,314.87
8.4,478,371,250,176.02
8.4,478,393,235,176.02
8.4,471,615,169,452.6
8.4,469,32,141,334.24
8.4,479,326,143,334.24
8.4,402,272,153,446.32
8.4,478,386,246,176.02
8.4,479,344,126,334.24
8.5,480,285,425,0.0
8.5,481,360,381,0.0
8.5,473,703,414,324.56
8.5,456,36,200,430.52
8.5,482,656,275,0.0
8.5,483,334,312,0.0
8.5,484,781,463,0.0
8.5,436,597,220,326.52
8.5,456,57,176,430.52
8.5,474,140,160,145.4
8.5,461,432,195,211.31
8.5,485,109,177,0.0
8.5,486,192,156,0.0
8.5,487,365,290,0.0
8.5,478,394,220,111.32
8.5,471,585,172,407.02
8.5,488,622,186,0.0
8.5,477,664,236,395.21
8.5,478,381,228,111.32
8.5,478,377,246,111.32
8.5,478,375,254,111.32
8.6,485,98,174,153.92
8.6,489,665,318,0.0
8.6,490,290,387,0.0
8.6,491,324,447,0.0
8.6,492,15,211,0.0
8.6,456,46,157,296.39
8.6,436,613,247,423.69
8.6,481,351,352,409.92
8.6,493,728,458,0.0
8.6,474,170,162,405.9
8.6,461,419,217,344.98
8.6,471,577,181,162.56
8.6,488,630,207,303.37
8.6,494,237,477,0.0
8.6,482,680,271,328.47
8.6,487,362,270,296.08
8.6,487,378,255,296.08
8.6,495,405,171,0.0
8.7,496,665,375,0.0
8.7,436,623,280,465.51
8.7,492,24,209,421.75
8.7,497,701,333,0.0
8.7,491,329,428,265.23
8.7,492,48,189,421.75
8.7,494,247,454,338.58
8.7,498,652,241,0.0
8.7,485,81,179,413.24
8.7,461,407,249,461.38
8.7,474,157,160,461.77
8.7,471,597,198,354.36
8.7,481,345,332,281.89
8.7,490,313,363,448.76
8.7,495,432,167,368.48
8.7,499,362,288,0.0
8.7,500,258,149,405.22
8.7,485,100,155,413.24
8.7,474,190,151,461.77
8.7,456,41,150,116.13
8.7,500,228,150,405.22
8.7,501,396,195,0.0
8.8,502,685,445,0.0
8.8,503,639,329,0.0
8.8,492,44,189,54.0
8.8,504,724,399,0.0
8.8,485,81,178,402.74
8.8,505,670,278,0.0
8.8,498,629,222,402.74
8.8,506,119,167,0.0
8.8,494,275,447,393.59
8.8,507,154,162,0.0
8.8,499,396,288,459.0
8.8,490,309,397,462.17
8.8,494,278,476,393.59
8.8,456,15,158,367.24
8.8,481,348,360,380.16
8.8,508,379,227,0.0
8.8,471,615,185,455.41
8.8,495,418,192,386.82
8.8,509,345,305,0.0
8.8,471,582,178,455.41
8.9,510,669,398,0.0
8.9,492,33,196,176.02
8.9,511,679,324,0.0
8.9,512,775,459,0.0
8.9,506,122,165,48.67
8.9,505,647,255,439.11
8.9,481,354,342,256.14
8.9,507,180,157,439.53
8.9,494,248,462,446.93
8.9,485,57,157,430.52
8.9,513,303,440,0.0
8.9,514,356,270,0.0
8.9,507,203,153,439.53
8.9,490,293,382,296.08
8.9,515,158,161,0.0
8.9,516,238,152,0.0
8.9,498,628,200,297.31
8.9,495,438,173,204.29
8.9,508,402,243,378.24
8.9,471,578,188,149.11
8.9,495,423,175,204.29
8.9,471,589,189,149.11
8.9,517,388,186,410.59
8.9,507,171,159,439.53
8.9,517,409,208,410.59
9.0,518,636,299,0.0
9.0,519,681,458,0.0
9.0,520,705,393,0.0
9.0,492,35,191,72.7
9.0,513,311,418,316.03
9.0,506,102,169,275.35
9.0,494,239,457,138.99
9.0,508,400,242,30.19
9.0,507,184,156,180.11
9.0,498,632,215,209.58
9.0,514,374,284,307.85
9.0,521,319,326,0.0
9.0,495,427,191,392.43
9.0,522,12,151,0.0
9.0,471,595,202,297.31
9.0,495,440,165,392.43
9.0,516,231,154,98.28
9.0,471,573,201,297.31
9.1,523,653,353,0.0
9.1,524,732,455,0.0
9.1,492,43,196,334.24
9.1,506,119,166,233.05
9.1,514,377,282,48.67
9.1,525,275,464,0.0
9.1,507,172,157,162.56
9.1,498,642,244,171.83
9.1,495,434,181,230.69
9.1,513,284,406,398.88
9.1,526,412,209,0.0
9.1,527,342,244,0.0
9.1,492,61,179,334.24
9.1,521,332,324,177.56
9.1,508,390,222,301.87
9.1,516,232,155,19.09
9.1,498,613,229,171.83
9.1,528,375,386,0.0
9.1,498,604,220,171.83
9.2,529,693,422,0.0
9.2,530,642,284,0.0
9.2,521,359,335,393.59
9.2,492,59,181,38.18
9.2,495,420,196,386.58
9.2,506,117,170,418.72
9.2,498,610,205,218.1
9.2,514,370,257,430.52
9.2,531,330,290,0.0
9.2,506,146,159,418.72
9.2,532,312,448,0.0
9.2,514,394,236,430.52
9.2,533,240,457,0.0
9.2,507,191,155,459.2
9.2,513,287,389,233.05
9.2,534,623,247,0.0
9.2,516,262,155,405.0
9.2,495,414,168,386.58
9.2,507,225,156,459.2
9.3,535,329,402,0.0
9.3,536,662,342,0.0
9.3,506,137,164,138.99
9.3,533,252,459,164.23
9.3,514,401,218,260.73
9.3,537,173,158,0.0
9.3,538,375,269,0.0
9.3,498,619,230,358.7
9.3,521,351,301,471.53
9.3,507,199,152,364.75
9.3,539,306,335,0.0
9.3,540,736,465,0.0
9.3,495,442,175,411.25
9.3,530,640,280,233.05
9.3,507,230,151,364.75
9.3,495,414,187,411.25
9.3,530,643,263,233.05
9.3,541,97,158,0.0
9.3,507,257,150,364.75
9.4,542,692,425,0.0
9.4,498,631,257,398.88
9.4,543,290,447,0.0
9.4,537,197,155,439.53
9.4,536,653,334,426.91
9.4,506,142,158,105.44
9.4,521,354,310,128.07
9.4,544,335,357,0.0
9.4,545,278,393,0.0
9.4,546,9,215,0.0
9.4,495,439,191,341.79
9.4,538,373,245,325.12
9.4,514,388,207,229.9
9.4,536,679,352,426.91
9.4,547,15,147,0.0
9.4,537,229,149,439.53
9.4,548,528,166,0.0
9.5,549,655,300,0.0
9.5,542,690,412,177.56
9.5,550,79,175,0.0
9.5,551,731,449,0.0
9.5,546,18,212,128.07
9.5,544,330,369,175.5
9.5,543,294,424,315.16
9.5,552,235,459,0.0
9.5,521,353,289,283.82
9.5,537,235,153,97.35
9.5,538,364,241,132.96
9.5,514,405,212,239.22
9.5,506,176,158,459.0
9.5,495,453,204,257.92
9.6,553,678,356,0.0
9.6,544,325,339,410.59
9.6,543,304,432,172.88
9.6,546,32,194,401.38
9.6,521,351,289,27.0
9.6,551,735,475,355.13
9.6,538,381,242,418.5
9.6,546,12,216,401.38
9.6,550,92,176,176.02
9.6,506,154,158,297.0
9.6,552,227,466,143.51
9.6,537,210,163,363.5
9.6,538,404,228,418.5
9.6,538,435,228,418.5
9.6,554,342,147,0.0
9.6,555,294,140,356.41
9.6,555,270,151,356.41
9.7,556,685,430,0.0
9.7,543,299,413,265.23
9.7,521,371,288,270.34
9.7,544,325,343,54.0
9.7,546,39,195,236.15
9.7,550,116,171,330.96
9.7,557,80,181,0.0
9.7,506,165,158,148.5
9.7,546,24,204,236.15
9.7,558,405,265,0.0
9.7,537,214,153,145.4
9.7,559,278,473,0.0
9.7,560,34,150,0.0
9.7,555,284,133,307.85
9.7,554,314,140,389.63
9.8,544,350,352,358.7
9.8,546,35,193,210.01
9.8,561,399,317,0.0
9.8,559,280,460,177.56
9.8,550,93,176,317.75
9.8,562,259,404,0.0
9.8,563,252,151,0.0
9.8,506,182,159,95.46
9.8,564,132,170,0.0
9.8,506,157,164,95.46
9.8,565,696,480,0.0
9.8,537,211,150,57.28
9.8,566,429,210,0.0
9.8,567,5,224,0.0
9.8,506,164,162,95.46
9.8,506,171,161,95.46
9.8,568,497,164,0.0
9.9,546,63,182,406.12
9.9,569,310,417,0.0
9.9,544,369,380,456.81
9.9,570,538,218,0.0
9.9,567,21,200,389.4
9.9,550,118,168,354.36
9.9,571,224,453,0.0
9.9,506,168,159,283.82
9.9,563,226,155,333.43
9.9,566,434,179,423.91
9.9,572,421,264,0.0
9.9,563,244,147,333.43
9.9,573,563,169,0.0
9.9,506,189,158,283.82
9.9,574,280,153,0.0
9.9,575,21,153,0.0
9.9,563,221,156,333.43
10.0,546,56,193,176.02
10.0,550,145,162,373.39
10.0,569,325,443,405.22
10.0,576,618,339,0.0
10.0,571,248,457,328.47
10.0,506,187,156,419.37
10.0,577,88,172,0.0
10.0,572,452,253,444.07
10.0,578,651,369,0.0
10.0,506,218,154,419.37
10.0,575,40,156,259.68
10.0,579,522,157,0.0
10.0,580,576,206,217.68
10.0,581,388,311,0.0
10.0,582,649,241,0.0
10.0,583,287,323,0.0
10.0,584,381,203,0.0
10.0,566,421,183,183.62
